method,mode,district,raster_covered_km2,raster_coverage_pct
buffer,drive,黄浦区,20.0,98.23
buffer,drive,徐汇区,55.0,99.83
buffer,drive,长宁区,37.5,100.61
buffer,drive,静安区,37.5,102.04
buffer,drive,普陀区,55.5,99.93
buffer,drive,虹口区,24.0,102.53
buffer,drive,杨浦区,60.5,100.06
buffer,drive,闵行区,373.25,100.19
buffer,drive,宝山区,316.5,100.11
buffer,drive,嘉定区,456.5,98.73
buffer,drive,浦东新区,1138.25,67.09
buffer,drive,金山区,528.75,79.18
buffer,drive,松江区,480.75,79.22
buffer,drive,青浦区,650.5,97.37
buffer,drive,奉贤区,580.0,72.03
buffer,drive,崇明区,583.0,27.74
network,drive,黄浦区,20.0,98.23
network,drive,徐汇区,55.0,99.83
network,drive,长宁区,37.5,100.61
network,drive,静安区,37.5,102.04
network,drive,普陀区,55.5,99.93
network,drive,虹口区,24.0,102.53
network,drive,杨浦区,60.5,100.06
network,drive,闵行区,366.25,98.31
network,drive,宝山区,310.25,98.13
network,drive,嘉定区,433.0,93.65
network,drive,浦东新区,983.5,57.97
network,drive,金山区,415.25,62.18
network,drive,松江区,414.75,68.34
network,drive,青浦区,535.0,80.08
network,drive,奉贤区,448.25,55.67
network,drive,崇明区,373.25,17.76
buffer,walk,黄浦区,14.5,71.22
buffer,walk,徐汇区,31.25,56.72
buffer,walk,长宁区,24.5,65.73
buffer,walk,静安区,26.25,71.43
buffer,walk,普陀区,25.75,46.37
buffer,walk,虹口区,16.25,69.42
buffer,walk,杨浦区,26.75,44.24
buffer,walk,闵行区,65.75,17.65
buffer,walk,宝山区,34.75,10.99
buffer,walk,嘉定区,30.75,6.65
buffer,walk,浦东新区,119.0,7.01
buffer,walk,金山区,20.25,3.03
buffer,walk,松江区,38.0,6.26
buffer,walk,青浦区,25.5,3.82
buffer,walk,奉贤区,18.0,2.24
buffer,walk,崇明区,17.25,0.82
network,walk,黄浦区,12.5,61.39
network,walk,徐汇区,18.0,32.67
network,walk,长宁区,16.75,44.94
network,walk,静安区,17.5,47.62
network,walk,普陀区,13.75,24.76
network,walk,虹口区,11.25,48.06
network,walk,杨浦区,12.75,21.09
network,walk,闵行区,31.75,8.52
network,walk,宝山区,11.75,3.72
network,walk,嘉定区,13.5,2.92
network,walk,浦东新区,55.5,3.27
network,walk,金山区,7.0,1.05
network,walk,松江区,11.75,1.94
network,walk,青浦区,10.0,1.5
network,walk,奉贤区,8.0,0.99
network,walk,崇明区,7.25,0.34
