method,mode,district,total_area_km2,covered_area_km2,coverage_pct,hospital_count
buffer,drive,黄浦区,20.36,20.36,100.0,22
buffer,drive,徐汇区,55.094,55.094,100.0,39
buffer,drive,长宁区,37.272,37.272,100.0,29
buffer,drive,静安区,36.749,36.749,100.0,33
buffer,drive,普陀区,55.536,55.536,100.0,19
buffer,drive,虹口区,23.409,23.409,100.0,15
buffer,drive,杨浦区,60.463,60.463,100.0,29
buffer,drive,闵行区,372.56,370.405,99.42,47
buffer,drive,宝山区,316.147,315.742,99.87,23
buffer,drive,嘉定区,462.382,446.614,96.59,18
buffer,drive,浦东新区,1696.678,1136.433,66.98,97
buffer,drive,金山区,667.806,507.745,76.03,11
buffer,drive,松江区,606.875,471.227,77.65,19
buffer,drive,青浦区,668.083,625.403,93.61,17
buffer,drive,奉贤区,805.202,577.848,71.76,10
buffer,drive,崇明区,2101.729,578.998,27.55,9
network,drive,黄浦区,20.36,20.36,100.0,22
network,drive,徐汇区,55.094,55.094,100.0,39
network,drive,长宁区,37.272,37.272,100.0,29
network,drive,静安区,36.749,36.749,100.0,33
network,drive,普陀区,55.536,55.536,100.0,19
network,drive,虹口区,23.409,23.409,100.0,15
network,drive,杨浦区,60.463,60.463,100.0,29
network,drive,闵行区,372.56,363.18,97.48,47
network,drive,宝山区,316.147,308.322,97.52,23
network,drive,嘉定区,462.382,420.725,90.99,18
network,drive,浦东新区,1696.678,980.791,57.81,97
network,drive,金山区,667.806,391.603,58.64,11
network,drive,松江区,606.875,409.683,67.51,19
network,drive,青浦区,668.083,525.774,78.7,17
network,drive,奉贤区,805.202,447.534,55.58,10
network,drive,崇明区,2101.729,371.299,17.67,9
buffer,walk,黄浦区,20.36,14.469,71.06,22
buffer,walk,徐汇区,55.094,32.225,58.49,39
buffer,walk,长宁区,37.272,24.292,65.18,29
buffer,walk,静安区,36.749,25.294,68.83,33
buffer,walk,普陀区,55.536,25.976,46.77,19
buffer,walk,虹口区,23.409,16.815,71.83,15
buffer,walk,杨浦区,60.463,27.721,45.85,29
buffer,walk,闵行区,372.56,65.06,17.46,47
buffer,walk,宝山区,316.147,34.355,10.87,23
buffer,walk,嘉定区,462.382,30.764,6.65,18
buffer,walk,浦东新区,1696.678,117.441,6.92,97
buffer,walk,金山区,667.806,20.243,3.03,11
buffer,walk,松江区,606.875,37.353,6.15,19
buffer,walk,青浦区,668.083,25.708,3.85,17
buffer,walk,奉贤区,805.202,17.793,2.21,10
buffer,walk,崇明区,2101.729,17.412,0.83,9
network,walk,黄浦区,20.36,12.464,61.22,22
network,walk,徐汇区,55.094,18.374,33.35,39
network,walk,长宁区,37.272,15.376,41.25,29
network,walk,静安区,36.749,16.595,45.16,33
network,walk,普陀区,55.536,14.054,25.31,19
network,walk,虹口区,23.409,12.325,52.65,15
network,walk,杨浦区,60.463,14.606,24.16,29
network,walk,闵行区,372.56,31.062,8.34,47
network,walk,宝山区,316.147,13.272,4.2,23
network,walk,嘉定区,462.382,13.201,2.86,18
network,walk,浦东新区,1696.678,56.148,3.31,97
network,walk,金山区,667.806,7.163,1.07,11
network,walk,松江区,606.875,13.982,2.3,19
network,walk,青浦区,668.083,10.497,1.57,17
network,walk,奉贤区,805.202,7.398,0.92,10
network,walk,崇明区,2101.729,6.855,0.33,9
